FECHAS;Amazonas;Antioquia;Arauca;Atlántico;Barranquilla;Bogotá;Bolívar;Cartagena;Boyacá;Caldas;Caquetá;Casanare;Cauca;Cesar;Chocó;Córdoba;Cundinamarca;Guainía;Guaviare;Huila;La Guajira;Magdalena;Santa Marta;Meta;Nariño;Norte de Santander;Putumayo;Quindío;Risaralda;San Andrés y Providencia;Santander;Sucre;Tolima;Valle del Cauca;Buenaventura;Vaupés;Vichada;Empresas privadas*
25/08/2021;47;33717;1617;7580;6048;25123;7805;9681;4046;7649;2009;2747;1534;6102;1220;8811;22225;35;263;3433;3461;3938;4475;5434;8985;6744;1186;4029;5476;172;10325;3686;9525;15574;844;25;223;47915
26/08/2021;30;30299;1388;6305;5792;100683;5725;8614;6636;9823;2435;540;1879;4031;1352;5792;15675;25;495;3109;1752;2696;2605;2552;8985;7651;1011;4586;5156;174;8473;4688;10588;21905;726;4;154;14574
27/08/2021;97;47359;1230;8707;2779;42531;3409;6888;3791;7807;1352;3007;1032;2950;1084;3590;6144;28;194;1910;3822;2128;2242;3217;5606;5729;898;3329;6323;128;8066;2739;13047;12163;631;1;152;33762
28/08/2021;215;26367;498;2581;9006;103496;4015;5491;2635;4394;859;1112;3952;1739;1236;2420;19002;11;219;10027;1623;793;1026;3129;4249;3534;783;3511;4189;44;8498;1030;3842;16107;310;0;36;14021
29/08/2021;7;11485;191;1751;6155;26494;1636;1026;1082;1983;418;713;558;322;235;1492;8655;12;0;2470;222;115;423;917;2326;1575;134;0;1118;16;4788;965;1252;6190;144;0;0;13365
30/08/2021;28;21852;1316;6186;14047;23485;3394;5679;5376;4846;1321;1012;2219;1391;993;6091;16291;37;253;705;2562;1026;543;815;490;3358;838;2441;2803;124;9750;4246;7305;10219;564;6;245;19577
31/08/2021;445;22493;1220;5345;3083;32919;2845;6481;7420;4172;1300;1317;1367;3366;2545;6184;9573;42;242;3706;2199;1284;1621;2322;4457;1959;1307;2941;3804;140;9014;4192;4574;11167;837;5;168;22490
1/09/2021;582;53438;1078;6986;3977;28124;2156;6300;4559;4465;639;1447;6456;4964;1449;5293;4770;69;398;1408;2164;3028;2057;0;4132;1677;941;5342;2596;154;6907;840;5186;11452;671;6;182;18434
2/09/2021;162;39886;1001;3869;7570;23662;2007;5402;3966;3257;730;2214;1765;2823;1232;3686;3294;23;249;3982;1821;1391;1756;0;5909;2633;978;2778;1902;108;5264;4219;6825;12870;1376;0;96;13216
3/09/2021;41;23578;900;6547;6261;26809;5918;3633;1510;3457;448;1907;1682;2111;1414;2866;2672;16;260;2369;3036;944;2665;2501;5895;1470;1107;1660;2644;118;5774;1430;4159;16658;890;6;96;20863
4/09/2021;5;19588;348;5570;9653;26754;3994;3975;1641;3677;299;1862;1568;2087;1678;1390;1111;61;141;5889;934;196;837;1197;3775;7833;547;1440;2766;206;3258;620;2046;16854;256;0;32;10763
5/09/2021;0;12568;106;1219;7924;25809;1105;4289;727;7;389;456;630;665;0;527;2450;0;0;2994;55;5;278;5600;2743;2759;264;228;532;6;1869;329;454;5890;439;0;0;0
6/09/2021;52;14242;582;2890;5185;8183;4217;4978;3252;2045;538;1742;3081;4533;2072;1172;16729;59;279;1498;1416;545;2148;3982;1036;1847;816;2972;3329;123;9675;785;1620;11210;890;1;143;26521
7/09/2021;31;23727;1046;2951;3583;41332;2947;4678;5802;2041;811;2236;1319;5338;1209;7870;23754;50;284;3921;890;412;2094;0;4423;2395;1228;3164;5218;386;5988;1139;2648;15495;938;8;243;10973
8/09/2021;70;22638;1072;4466;6376;20244;3306;5976;6548;2978;506;2435;2241;4157;1284;3470;14918;53;285;3919;1710;445;1400;6224;6576;4553;2138;2843;3931;357;5046;1643;5583;15435;472;5;214;11723
9/09/2021;139;24205;1438;1871;5670;18524;4847;4465;7667;5161;651;1992;28712;4019;1640;5479;13855;40;283;4408;1837;1013;1053;2029;5943;3767;918;2348;6267;462;3310;2221;7804;15541;903;7;364;8196
10/09/2021;75;21608;1237;1150;5403;22286;4357;3154;5121;8017;685;738;990;2311;2475;4460;8336;89;363;4265;2154;1851;305;1345;4818;4055;1025;1192;4140;438;5034;2855;8223;14132;656;5;221;5144
11/09/2021;48;19943;553;5314;7109;26698;5683;2913;4553;3762;736;1465;0;1167;696;2883;6420;0;126;3625;728;713;174;1852;4932;3354;785;1516;6013;357;6155;883;3562;14554;209;0;0;18201
12/09/2021;20;14051;205;1208;4851;30598;1840;635;3529;1172;322;743;6893;608;169;2245;5246;136;0;992;94;58;12;2112;2678;656;163;264;2908;115;2076;625;1139;5134;68;0;41;4051
13/09/2021;168;33406;1226;3034;4377;20902;5122;3213;8806;2113;1205;2042;3233;3413;1842;7849;24723;10;423;1482;1733;1655;334;4332;468;3257;984;2902;7139;308;5080;2143;2889;14632;547;23;65;6229
14/09/2021;267;41155;1198;3000;3745;22950;5641;3168;9811;4448;977;1745;4857;6701;1622;4885;23892;90;240;4437;1423;2096;1092;3663;4342;4729;952;2345;6515;697;3870;2157;4309;13291;543;23;324;6007
15/09/2021;48;28718;1341;2831;2752;22354;4018;3982;8245;5909;2107;1213;3744;5401;1803;5289;9364;34;473;6476;2481;4211;951;2673;3421;4524;1122;1860;4004;663;4136;2424;7508;10588;746;100;408;4191
16/09/2021;225;24913;1085;4321;2089;22389;5088;4004;6277;8733;999;847;4227;3454;1753;5644;3236;70;322;4916;3285;4508;896;3079;5387;4028;1092;2107;2869;143;12221;3101;5555;9340;635;14;507;5548
17/09/2021;115;16630;1064;4240;2778;23830;4584;3162;3487;5040;1104;939;3820;2520;1305;3629;16054;36;378;3220;2897;3621;968;2271;6284;4424;1012;984;2037;218;12560;4282;6193;10011;520;16;425;3252
18/09/2021;13;14942;408;2137;2263;25091;3675;2769;1828;3576;1024;957;3280;1606;790;1760;8832;5;90;3374;1122;1267;347;2268;4476;2076;548;574;3480;78;5383;684;4320;4061;151;27;199;937
19/09/2021;11;6650;144;276;2107;26301;1014;460;742;899;494;288;1833;869;32;1129;6822;0;25;1183;132;94;136;1877;2526;584;291;296;638;15;1463;199;1050;2009;28;0;43;11885
20/09/2021;29;19066;902;3579;2545;22837;4051;3012;4701;2860;1402;1356;3035;25639;1480;4041;14380;45;603;1670;2265;2231;1068;3829;277;3564;830;1233;4135;223;8630;4476;2618;10052;541;19;551;2753
