Origen;Bilateral;COVAX;Donacion;Bilateral;COVAX;Bilateral, COVAX & Donación;Bilateral & COVAX;% Entregas;% Por llegar;% Total
Pfizer;13724100;1209780;0;650000;;14933880;650000;0,3498;0,2608;0,3448
Sinovac;12000004;2097600;0;0;-97600;14097604;-97600;0,3302;-0,0392;0,3098
AstraZeneca;3323800;2066400;957600;-60400;0;6347800;-60400;0,1487;-0,0242;0,1391
Janssen;480000;0;2500000;2000000;0;2980000;2000000;0,0698;0,8026;0,1102
Moderna;839220;0;3500000;;0;4339220;0;0,1016;0,0000;0,0960
